PGC,PGC1,T17,Vcmb,DM,e_DM,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMsnIa,e_DMsnIa,distance_mpc,distance_err_mpc,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB
962902,962902,0,8701,35.206,0.59,,,,,,,109.95120668793518,29.874297118208922,0.02902341192319121,175.7482,-11.6889,277.5421,47.7803,123.3729,-20.2582
962990,962990,0,14855,36.326,0.56,,,,,,,184.16199035246714,47.49344921235087,0.04955094634168549,69.484,-11.6808,208.3551,-34.8746,298.9647,-56.4982
963067,961885,0,13514,36.096,0.59,,,,,,,165.65326493180157,45.008827135655636,0.04507785182507827,122.8917,-11.6723,232.8299,11.9062,106.6012,-70.9821
963423,963423,0,25772,37.673,0.25,,,,,37.673,0.25,342.45223108915195,39.42627011842167,0.08596613861446775,207.0589,-11.6423,324.3475,48.8534,131.4445,9.3428
963440,964162,0,7646,34.676,0.63,,,,,,,86.13903457724292,24.991149574749738,0.025504310718850707,234.8114,-11.6399,354.9234,33.7989,142.9611,34.378
963747,963747,0,12082,35.216,0.67,,,,,,,110.45871839886301,34.08164018244418,0.040301213981840736,154.9973,-11.6119,254.4247,36.6179,118.53,-40.1504
963928,963928,0,12487,36.646,0.98,,,,,,,213.40274428489772,96.31008364770746,0.04165214856739325,242.4423,-11.5969,0.795,28.2669,147.7209,40.8351
964162,964162,0,7556,35.116,0.56,,,,,,,105.48725713234374,27.204059206661633,0.02520410303317237,234.8867,-11.574,355.0422,33.792,142.9333,34.4743
964276,968572,0,13577,37.476,0.85,,,,,,,312.751931140798,122.42344885648329,0.0452879972050531,196.5192,-11.5621,308.6529,51.147,128.3236,-0.5025
964400,964400,0,9660,36.016,0.59,,,,,,,159.6614245993414,43.38081391261909,0.03222229159614149,47.6288,-11.5538,194.2677,-53.862,293.2871,-35.4446
964516,43928,0,6509,35.146,0.63,,,,,,,106.95473105661613,31.0303185388751,0.021711686956447717,193.9434,-11.5427,304.6311,51.3147,127.6223,-2.9269
964524,49940,0,11670,36.456,0.85,,,,,,,195.52396696208905,76.53579718049431,0.03892692990962435,209.8478,-11.5423,328.2412,47.9622,132.2374,11.9631
965153,965153,0,11288,37.156,1.22,,,,,,,269.8982073472013,151.63711568268957,0.03765271506596741,14.4413,-11.489,128.6654,-74.2903,285.5582,-3.7407
965258,972399,0,14492,36.416,0.63,,,,,,,191.95525237613774,55.69115613304378,0.0483401086761162,190.6731,-11.4802,299.5014,51.3333,126.7218,-6.0036
965262,965262,0,11589,36.286,0.63,,,,,,,180.80065521100082,52.45492058004326,0.03865674299251384,207.7568,-11.4797,325.4079,48.7741,131.5068,10.0429
965359,972399,0,14822,37.066,0.63,,,,,,,258.94051057392386,75.12530251209282,0.049440870190270096,190.6629,-11.4729,299.4847,51.34,126.7121,-6.0114
965389,972399,0,15632,35.986,0.76,,,,,,,157.47078772898465,55.11366303783204,0.05214273936137513,190.5745,-11.4699,299.3461,51.3382,126.6869,-6.0944
965525,3758178,0,16105,36.396,0.59,,,,,,,190.19539604423096,51.6770478751303,0.053720497531662394,159.3177,-11.4582,258.3389,39.5257,119.3667,-35.966
965616,155631,0,15446,37.066,0.61,,,,,,,258.94051057392386,72.74037227361367,0.05152231014430657,160.2558,-11.4511,259.2603,40.1125,119.578,-35.0628
965875,965875,0,14625,37.726,1.28,,,,,,,350.91343835855247,206.85006133649614,0.04878374892272974,151.6377,-11.431,251.3657,34.4558,117.4598,-43.3492
966349,972399,0,15092,35.846,0.56,,,,,,,147.63862777538597,38.07445638815845,0.05034149324730511,190.4017,-11.3916,299.0678,51.4063,126.5672,-6.2381
966451,966451,0,11615,36.796,0.8,,,,,,,228.66516029195208,84.24335830005488,0.03874346965726536,69.1279,-11.3826,207.8446,-35.0635,299.3715,-56.0985
