galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0017317-635250,4.3821,-63.8806,12506,35.76878584383877,0.6655000448226929,6dFGSv,FP
g0017348-042016,4.395,-4.3378,11703,36.6441798037475,0.5530000329017639,6dFGSv,FP
g0017537-083912,4.4739,-8.6534,10300,36.62687984673997,0.6384999752044678,6dFGSv,FP
g0017594-091620,4.49745,-9.2721,6644,34.720841773621146,0.4870000183582306,6dFGSv,FP
g0018047-335229,4.51965,-33.8746,7287,34.53593749553161,0.46799999475479126,6dFGSv,FP
g0018237-051822,4.59855,-5.3061,10325,35.52964398641541,0.7644999623298645,6dFGSv,FP
g0018390-151920,4.66245,-15.3223,7346,34.52094836433125,0.4764999747276306,6dFGSv,FP
g0018390-542516,4.6626,-54.4212,10144,35.469239859905294,0.5375000238418579,6dFGSv,FP
g0018485-151450,4.70205,-15.2472,7376,36.02429819782006,0.5860000252723694,6dFGSv,FP
g0018507-082731,4.7112,-8.4587,6433,34.56226141079631,0.4814999997615814,6dFGSv,FP
g0018525-374024,4.7187,-37.6734,13209,36.237043442574375,0.5544999837875366,6dFGSv,FP
g0018550-031634,4.72935,-3.2761,5826,34.6015459839846,0.4650000035762787,6dFGSv,FP
g0019081-221120,4.7838,-22.1889,15759,36.65583691463284,0.5555000305175781,6dFGSv,FP
g0019284-522137,4.86825,-52.3602,9953,35.37996370578469,0.5295000076293945,6dFGSv,FP
g0019365-614127,4.90185,-61.6909,10995,35.589669865753656,0.5164999961853027,6dFGSv,FP
g0019426-414840,4.92765,-41.811,15806,36.98380360197769,0.5325000286102295,6dFGSv,FP
g0019475-511510,4.94775,-51.2527,6350,34.70706226658232,0.4854999780654907,6dFGSv,FP
g0020028-040306,5.0118,-4.0517,11584,36.485486467246375,0.6299999952316284,6dFGSv,FP
g0020112-032402,5.0466,-3.4006,11613,35.4639158813692,0.5029999613761902,6dFGSv,FP
g0020128-494032,5.05335,-49.6757,12848,36.35337141464688,0.5145000219345093,6dFGSv,FP
g0020265-020643,5.1105,-2.1119,11552,36.581979595496406,0.5885000228881836,6dFGSv,FP
g0020281-495632,5.11695,-49.9422,9791,35.37932887373718,0.609499990940094,6dFGSv,FP
g0020374-131719,5.15565,-13.2887,16097,36.879918441954764,0.7714999914169312,6dFGSv,FP
g0020419-042559,5.1747,-4.4331,5798,34.33008472613245,0.48900002241134644,6dFGSv,FP
g0021347-040719,5.3946,-4.122,11465,36.705563980775445,0.5745000243186951,6dFGSv,FP
g0021463-114411,5.44275,-11.7364,14145,37.069708534517446,0.578000009059906,6dFGSv,FP
g0021512-013527,5.4633,-1.5909,11402,35.36609881997835,0.6119999885559082,6dFGSv,FP
g0021530-192626,5.47095,-19.4405,6789,35.74072278332233,0.7940000295639038,6dFGSv,FP
g0022208-760951,5.5866,-76.164,14290,36.25435484136531,0.6315000057220459,6dFGSv,FP
g0022339-082911,5.6412,-8.4864,5356,34.08539654857337,0.5400000214576721,6dFGSv,FP
g0022354-062027,5.6475,-6.3408,12158,36.69050429552637,0.6054999828338623,6dFGSv,FP
g0022509-424509,5.712,-42.7524,10566,36.80524666533285,0.7225000262260437,6dFGSv,FP
g0022530-143204,5.7207,-14.5344,6147,34.67550973379126,0.48799997568130493,6dFGSv,FP
g0022581-423205,5.7423,-42.5346,16021,37.43414181106533,0.6190000176429749,6dFGSv,FP
g0023015-565005,5.7564,-56.8348,10099,35.439585557056574,0.46299999952316284,6dFGSv,FP
