CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
2008hu,122.312,-18.6536,0.05071,11.5,0,355.6558820077846,tully-fisher,63245.55320336759,6.191654556759216e-07
AT2016cor,236.13,16.3035,0.04995,9.59462,0,118.76404904618651,tully-fisher,7052.449672922497,-6.067142253843755e-09
PS16fbb,1.7631,-20.6968,0.05139,8.77965,0,74.29207622659274,tully-fisher,2759.6562950289326,-5.3830910179242526e-08
2003ic,10.4593,-9.3053,0.05196,9.30338,0,100.43266701915631,tully-fisher,5043.360302290364,-2.842127626234947e-08
ASASSN-16hc,209.768,33.139,0.05165,10.7547,0,231.58210418256297,tully-fisher,26815.135488811724,2.1382239255434827e-07
1993O,202.785,-33.2152,0.05148,10.2759,0,175.79438353673348,tully-fisher,15451.832641530073,8.738859705452654e-08
2006ot,33.7702,-20.7662,0.05232,11.3736,0,330.69680243423034,tully-fisher,54680.18757011218,5.238629101563079e-07
AT2016htn,32.8711,-16.5102,0.05229,10.2648,0,174.67469582846397,tully-fisher,15255.6246813832,8.52054890759707e-08
PS16evk,338.344,-1.357,0.0532,9.93232,0,144.24806486491502,tully-fisher,10403.752108636363,3.122112617565287e-08
PS16n,75.9333,3.4125,0.05268,10.0228,0,151.96024870317032,tully-fisher,11545.95859296469,4.392988726378005e-08
2010dt,250.811,32.6751,0.05291,10.1659,0,165.00799819844204,tully-fisher,13613.819734728522,6.693794541672634e-08
2006lu,138.824,-25.6001,0.05449,10.0668,0,155.85832179604967,tully-fisher,12145.908236540483,5.060522730931961e-08
PS16bby,215.075,-22.189,0.0543,10.4871,0,198.52033329628017,tully-fisher,19705.16136603308,1.3471326149185392e-07
PS16ayd,216.826,-1.6753,0.05485,10.4328,0,192.41104383724297,tully-fisher,18511.004895268718,1.2142647885052633e-07
SN2017cpu,211.969,9.642,0.05529,10.521,0,202.4323867675706,tully-fisher,20489.43560620764,1.4343948926477024e-07
490007,184.268,46.6275,0.05513,9.16275,0,92.62271256404394,tully-fisher,4289.4834413607505,-3.6809287578058076e-08
AT2017oz,211.673,30.3188,0.05641,9.48953,0,111.79245555428051,tully-fisher,6248.776559427891,-1.5009211601629347e-08
2006py,340.425,-0.1369,0.05658,9.57313,0,117.30391197363473,tully-fisher,6880.10388215912,-7.984747791378516e-09
PS16aer,163.742,14.2716,0.05668,10.2711,0,175.30931615833904,tully-fisher,15366.678165952237,8.644112573427758e-08
2005hj,21.7017,-1.2381,0.05631,9.22407,0,95.9505560000395,tully-fisher,4603.254598358358,-3.331811262384411e-08
2008eq,255.03,23.1324,0.0568,10.1809,0,166.43896085835485,tully-fisher,13850.963845804486,6.957652950154091e-08
2006ob,27.9506,0.2633,0.0576,11.0302,0,271.38134819383953,tully-fisher,36823.918073752975,3.2518511759598195e-07
SN2016gmb,8.6861,-6.1589,0.05708,9.39885,0,106.10662372635511,tully-fisher,5629.307799303151,-2.190173110839192e-08
2001ah,167.624,55.1608,0.05837,10.5719,0,208.45148610116996,tully-fisher,21726.01102889312,1.5719824639842553e-07
LSQ13crf,47.7093,1.4219,0.05934,8.80055,0,75.19128305956727,tully-fisher,2826.8645240719834,-5.3083117781122376e-08
SN2017cjv,152.69,-3.7775,0.06079,10.6078,0,212.80410225679768,tully-fisher,22642.792968660797,1.6739882116514002e-07
2008bz,189.741,11.1295,0.0613,10.3562,0,184.1111097053412,tully-fisher,16948.450358466085,1.0404071492092346e-07
SN2016hhv,353.952,20.7088,0.06067,10.7875,0,235.9961921899236,tully-fisher,27847.101364071674,2.253045614438823e-07
2008go,332.687,-20.7881,0.06116,10.7539,0,231.47548123510927,tully-fisher,26790.44920651271,2.1354772062051073e-07
2006oa,320.929,-0.8435,0.06142,8.11091,0,50.55422949961342,tully-fisher,1277.8650601497918,-7.03180611847229e-08
1992bs,52.3749,-37.2718,0.0637,10.5104,0,201.2009354944994,tully-fisher,20240.908221930848,1.406742491843059e-07
SN2016aqb,170.493,-13.9837,0.06419,9.62423,0,120.80571932978425,tully-fisher,7297.010911393302,-3.3460314969129127e-09
